name,D_Mpc,n_points,chi2_reduced,R_squared,RMSE_km_s,V_max,A,zeta,lambda0_kpc,phi0_rad,Rc_kpc,alpha_kpc,success,category
CamB,3.36,9,0.032072035978963805,0.9994752035676353,0.1266333999760012,22.715655105780144,0.6854535825320336,0.01,2.5975779911105197,1.2122756026206758,0.566002349146716,5.37,False,REJECTED
D512-2,15.2,4,2.8289967782811327e-11,0.9999999999957132,1.1654858234388239e-05,38.763251249031,0.5978680688487227,0.151735625300762,1.2323591687860926,2.404218485229235,1.1840059713011377,0.5311312955863641,False,REJECTED
D564-8,8.79,6,2.1431086466194685e-10,0.999999999996358,1.086981794298631e-05,28.068162724712426,0.062203615608876446,0.13510421912351203,1.0844943164024994,3.628985802627279,1.5818050004089914,0.14729190558456706,False,REJECTED
D631-7,7.72,16,0.051159837197964825,0.99920055083239,0.4296022333750172,62.979353635696654,0.052706167896417355,0.01,1.844216714481533,1.6293230733162474,3.2120637241148295,0.8693710324195549,False,OK
DDO064,6.8,14,0.02255945991479429,0.9987966062155468,0.49379633929985745,52.3461748655268,0.7050423894793237,0.37719246549279517,1.952167456512571,4.989581159730813,1.3130178578645404,0.05000000000000001,False,OK
DDO154,4.04,12,0.36353992822787085,0.9980524766479993,0.4794159710313185,46.94678682592957,0.08575658291539939,0.01,4.690860718320992,6.283185307179586,1.648498953764297,0.5557820886287205,False,OK
DDO161,7.5,31,0.0809726003134154,0.9986073770004005,0.6502391708916601,57.26851452097186,0.20475057339323982,0.011761392952270465,7.170529723942382,6.275227960393029,2.0571933812082666,1.885786301266583,False,OK
DDO168,4.25,10,0.689070292037888,0.9970252751216874,0.7571553466684324,59.3457177402034,0.18327118269903422,0.07956374908364937,1.8314825082228923,4.015236044798478,1.826518824418173,0.5793586923682951,False,OK
DDO170,15.4,8,1.378849237117424,0.9980572820775231,0.48181436066847655,64.06285309006272,2.0,0.5022564660970976,3.379160593469125,3.0114606647386544,3.585722925110297,0.05000000000000001,False,REJECTED
ESO079-G014,28.7,15,0.1684990150220988,0.9987158731224967,1.7766363482317358,181.1910207805183,0.6691589152784351,0.9722929854936037,18.62126392033688,6.283185307179586,1.480947169620214,13.60436453398653,False,OK
ESO116-G012,13.0,15,0.7347153461379313,0.9941654625109604,2.1577312833937636,112.31243847840925,1.4759870197412581,0.8581969632679708,8.601912885828556,6.283185307179586,0.8767001858976375,29.57999999999999,False,OK
ESO444-G084,4.83,7,0.28753517225400627,0.9952567659590551,1.044478858264616,59.801721128375796,0.21769521666143418,0.022172053866908056,0.8994031141811591,5.613890444143223,0.7124473803466629,3.889459870420751,False,REJECTED
ESO563-G021,60.8,30,0.7815060267901639,0.9972171161480379,4.6303055302918334,318.7281487849328,0.9069953038601325,0.6362920243764563,13.241834563450997,0.1245988543248928,3.7850253485781384,1.7015554855852366,False,OK
F561-1,66.4,6,0.006354170225262589,0.9997075088082508,0.1628104971890157,52.2456621831231,2.0,0.06588132363353684,0.5098886374541545,0.0,2.4501365681329323,0.9703991794736972,False,REJECTED
F563-1,48.9,17,0.07352463459008443,0.9859591193624871,2.9682412838609573,111.53651187773745,0.4143363091145788,0.13105632251390356,4.549577102510255,0.0,3.320944061693933,0.7158026386066538,False,OK
F563-V1,54.0,6,0.001358689167499952,0.9998526165018151,0.07524097862589994,26.731356994010742,0.8884336528717001,0.33149210094378906,5.238267647122911,0.0,0.05000000000000001,1.0340498922547587,False,REJECTED
F563-V2,59.7,10,0.0005335637946112046,0.9999705966059885,0.20008299803470295,120.05649816902257,0.39944612785596345,0.45812591201037567,5.792450814260808,0.5506322597761286,1.9518155065728342,0.05000000000000001,False,OK
F565-V2,51.8,7,3.3934493218665403e-11,0.9999999999993142,1.7112773434958706e-05,97.46696264843482,0.9716320889562462,0.10625991053404206,1.0233831793931254,5.367328456264377,5.452719770031378,0.11753100183928651,False,REJECTED
F567-2,79.0,5,1.4426327608040468e-10,0.9999999999769539,4.2763358270773336e-05,52.86337650191777,0.2342876780346615,0.09469150928268859,2.824630935696619,3.557363245976599,2.648364427403413,0.4401019110870483,False,REJECTED
F568-1,90.7,12,0.0010894306281393948,0.9998997063122445,0.3742096479774193,143.98630453326828,0.03087083253238364,0.01,3.1745783071136553,5.74723392919256,3.955588150512959,0.8545914176125878,False,OK
F568-3,82.4,18,0.04029549465456925,0.9978296652406137,1.453654315544543,122.90909106967528,0.11996087745106869,0.01,1.7273021384890248,4.838843565594518,6.050380651057297,1.5913788987159379,False,OK
F568-V1,80.6,15,0.011942307396384164,0.9976977518519322,1.3541861215935356,117.74442275649427,0.0351936626146322,0.01,5.2181220650067415,4.813469416948829,2.4959352427473607,0.3768782355996173,False,OK
F571-8,53.3,13,0.13416226863909658,0.9988789818721461,1.3172754233263422,152.608295364071,0.25662616787138476,0.99,5.772314644975685,3.289186597223122,5.055034885066369,0.37543782074095194,False,OK
F571-V1,80.1,7,0.07354989387534787,0.9987696922126853,0.6219758542834847,85.88133766400819,1.0130859794658333,0.5084148517778415,9.962953805544524,1.3299599308651098,0.05000000000000001,40.77,False,REJECTED
F574-1,96.8,14,0.0018170209670126006,0.9999646520750305,0.14492068758436885,102.21643775310241,0.02644671341648712,0.01755161500876907,0.9681174708775573,1.4884954358681546,3.1583564465816636,1.0312493894281618,False,OK
F574-2,89.1,5,0.001970920369355505,0.99963346466904,0.186337718370989,47.466149266088294,0.03482092835347226,0.01,14.812705559375479,5.9816874599783585,7.580999999999999,0.05000000000000001,False,REJECTED
F579-V1,89.5,14,0.0028407845163867353,0.9993830819374152,0.49566593859831826,114.59051804992588,0.19013749817227366,0.7558343878424174,13.364804434759627,5.192405099657144,1.5634924335747489,0.05000000000000001,False,OK
F583-1,35.4,25,0.05249010795100508,0.9960623409959167,1.5335516416951391,90.67554077657314,1.5129345779170902,0.3075518801629776,0.991929651002683,3.3728470929273087,4.411502835787917,0.07916084436381174,True,OK
F583-4,53.3,12,0.19643027948089942,0.9947364539249203,1.2757317000870125,108.05861971652963,1.5576844080058072,0.32273134436012474,14.57999999990953,6.13041793473372,2.6926592768953417,21.869999996970733,False,OK
IC2574,3.91,34,0.39279040836922213,0.9869798347710669,1.8758749677159836,77.12709579644115,0.10662964012459959,0.044013397628058566,4.883323352558816,2.4359682895302632,7.0744952668182375,0.4770309327206849,False,OK
IC4202,100.4,32,0.8226597753722072,0.9917024623920332,4.6535477990114416,246.8774120854274,1.9839250704416538,0.9415447829653142,9.6880474318236,0.0,2.149424429012035,77.69999999999997,False,OK
KK98-251,6.8,15,0.12601634593131852,0.9973377546615035,0.5184928845414816,42.378502135399025,0.13078171412414466,0.0854932466673912,2.930288140292931,0.0,2.178729575063273,0.05000000000000001,False,OK
NGC0024,7.3,29,0.08110340152609141,0.9942111075574127,1.9120531228425988,108.50187416630804,0.08867965705748439,0.16850090719596753,7.44151243563737,1.772471821083045,0.9833277533986935,0.05000000000000001,False,OK
NGC0055,2.11,21,0.2040469778436756,0.9934341550933313,1.4501983521414439,93.79933361244936,0.2908450639489618,0.264239006185285,2.848936606345211,1.6216947214553274,4.497226609061962,0.05000000000000001,True,OK
NGC0100,13.5,21,0.012096229538708357,0.9993950470498916,0.5801851889286598,91.99250381587608,0.034098448555087535,0.01,1.6253908042061982,0.5859867249036121,3.1420747839206085,0.5074487626248614,False,OK
NGC0247,3.7,26,0.05893320003856013,0.9989954693481261,0.6246038746325231,112.24808606798643,0.5613174198114507,0.4625060159142522,9.980121605337416,3.8786302926065925,5.033503329245228,0.36592743746460094,False,OK
NGC0289,20.8,28,0.2928484301400166,-0.04490333796496615,9.714722302731051,171.65485641291818,0.08755668415474899,0.01,10.962809368680533,0.0,0.05024507753721994,0.7676338892025418,False,OK
NGC0300,2.08,25,0.42919246542728606,0.966104411152086,3.0107697929811446,111.71593288780521,1.9735585996556957,0.5010960251329651,9.801630503307404,5.039372938230008,7.136931951809337,30.13541097438293,False,OK
NGC0801,80.7,13,3.327111264399077,0.9606103894763998,6.568904213599052,219.94367612545545,0.9422408859791153,0.5213765843196813,4.388865124048884,0.0,0.05000000000000001,0.3036330282845235,False,OK
NGC0891,9.91,18,1.0369899564653196,0.5667306270978616,6.093229107336327,218.72255678166428,0.04836128917086592,0.01,3.6268549839483706,5.052221868601685,0.05000000000000001,1.6216562967146115,False,OK
NGC1003,11.4,36,1.0259941093173224,0.9526462955573454,3.236226420751331,117.77711174765133,0.17591707803752035,0.99,34.495320158881384,4.18172978397158,8.06837112337959,0.05000000000000001,False,OK
NGC1090,37.0,24,0.5803935454968103,0.9922908714293603,3.3606066835910524,162.04799369870696,0.4480037094655035,0.20139450835104494,8.452203352153623,0.6400574858082285,1.3526395324622413,2.71982855138419,False,OK
NGC1705,5.73,14,0.007340525324482205,0.9981676580678156,0.25566938652717125,71.33168703198805,0.516393780515721,0.04791546653845732,0.2,4.377275949516869,0.055075245814365965,3.7483993975943415,False,OK
NGC2366,3.27,26,0.18460613119066194,0.9965381352809873,0.8517596858214853,46.28030899060647,0.21672414795060466,0.011143930685948768,1.337630771105201,5.845400754808297,1.3729791738042116,2.6589756766461057,False,OK
NGC2403,3.16,73,1.8802916776860912,0.9910836343221544,2.4811982835315503,134.05908308119922,0.270688097042329,0.99,7.238039939880437,4.863235878389693,2.500364710915816,5.466732161419523,False,OK
NGC2683,9.81,11,1.3283518169521629,0.8864244486051048,7.3065820327376345,169.80451862549117,0.3748321761748268,0.4412387717464231,62.37510482441108,4.292437973652708,2.0343146610868685,0.05000000000000001,False,OK
NGC2841,14.1,50,0.5476732430926471,0.9629674586295375,3.22403893106308,306.4637082614116,0.10760025924135207,0.026434546871229554,83.33863699061943,4.818678551666304,2.1034047770373028,0.37953339870452285,False,OK
NGC2903,6.6,34,1.7716605017714404,0.9749983048306525,5.888689082591923,177.094106920328,1.0255690654384504,0.5464767369742363,49.92,5.701050452666564,1.8642056557568512,39.732850814037256,False,OK
NGC2915,4.06,30,0.07279141190376183,0.9862779990541685,2.0782535408470557,96.4803131096324,0.6934187810191786,0.4512765517439448,10.446033110042073,3.5097361955657895,3.5008620024765844,0.6472488411029783,False,OK
NGC2955,97.9,24,1.8731814171205223,0.786163682921821,11.211059897119018,261.49918023987374,0.1038084529259801,0.04717989037989747,1.3791460394164305,1.3454470043277136,1.0324725632396847,0.401232958076431,True,OK
NGC2976,3.58,27,0.3073485260216421,0.9958862244425014,1.5863137155257314,102.98142799915905,0.09934894209421762,0.01,1.672968931324387,5.220939251778257,1.589,0.29280867962276313,False,OK
NGC2998,68.1,13,1.8731202530303719,0.992993053136334,3.2624393978562285,212.2562940188078,0.5942191243040527,0.8824507320703606,6.501938145419019,5.734400742675104,0.8833704975135833,0.05000000000000001,False,OK
NGC3109,1.33,25,0.08987992619144433,0.9972911542533013,0.9621201467691378,78.0884934824116,0.08520289880850233,0.0783795296809842,1.1184639752794985,2.547202668987616,3.8597531336423216,0.22163892577268224,False,OK
NGC3198,13.8,43,0.36789316173248315,0.985940188406287,4.192762719440049,154.54501863128175,0.09642254362094475,0.24654656671347255,57.01083125276845,3.9578027094391035,4.057994746820237,0.05539748278165204,False,OK
NGC3521,7.7,41,0.06876334934153104,0.9624502937106764,3.060914731466923,205.93029158004725,0.1781188919407563,0.45295516841364175,12.49737172468573,2.5416450748816777,0.4547592816275937,2.3397277040718936,False,OK
NGC3726,18.0,12,0.26971744624685423,0.9934390126924599,1.5587078141561914,161.65211190418827,0.11100316108245226,0.023752896863776612,6.122414436441654,4.484039032273419,3.5897969312250355,0.7492657074122698,False,OK
NGC3741,3.21,21,0.23269228793585278,0.993694387304488,0.8954235816294577,55.059572815897575,0.33790373552559555,0.9885375522944783,4.455850387767437,4.3145849576038255,2.79572289267639,1.6270140549385441,False,OK
NGC3769,18.0,12,0.12743609353828003,0.9353073817217233,2.5656989009887448,118.79957742077438,0.18835457738074993,0.27041131206435837,13.483013891581281,0.7270805849996946,0.938306078173211,0.05000000000000001,False,OK
NGC3877,18.0,13,0.08372230328287512,0.9991399382498932,1.1636894032099643,175.63775018837345,2.0,0.99,3.744189978516456,5.8694687283275355,2.379813185711687,21.32200571675882,False,OK
NGC3893,18.0,10,0.6623991362710955,0.9430434241270615,3.265662148240229,153.4947617291442,0.4094986828671586,0.01,1.0811720478856504,0.6411325445622654,0.05000000000000001,6.5490270143075024,False,OK
NGC3917,18.0,17,0.3667029609087845,0.9966326918119414,1.937831485210747,131.0808848899768,0.938318236268241,0.02314341916209906,0.918307504387477,0.0,0.05000000000000001,8.48004853825234,False,OK
NGC3949,18.0,7,0.0023126294974582127,0.9996579694695779,0.2657026412459691,179.73404816618043,0.9337541834131733,0.26583578289342774,2.2163390354642356,1.4263169569399379,2.576389748227535,2.4805372121904914,False,REJECTED
NGC3953,18.0,8,0.30796618133463,0.9908935945231202,1.3393355036583436,211.9344718656865,0.0881828401104353,0.010000377276623002,30.25062919032633,2.6688723248172344,2.3031674520167877,0.09395625033223153,False,REJECTED
NGC3972,18.0,10,0.06374721156451273,0.9992810933223243,0.7738730235538215,137.64787966539149,0.04129362792959523,0.01,6.744758248989916,3.787302028763861,2.9726206684784358,0.05000208690574136,False,OK
NGC3992,23.7,9,0.9754628708749161,0.9368256657682695,3.298488173208754,255.37465691956845,0.07387954189632905,0.01,21.13869296754824,0.365344773769457,0.10907047485631459,0.8200656179229329,False,REJECTED
NGC4010,18.0,12,0.2793067797895092,0.9963497395509041,1.81338733539543,103.43726625153131,0.484545714812024,0.2014595577116463,15.825599514895716,1.2219921484204554,0.8827506422812166,0.05000000000000001,False,OK
NGC4013,18.0,36,0.39817770667795466,0.8747729374271382,3.7463311338333773,174.93867681532808,0.23418634298654742,0.26379405223029134,19.994801521499408,1.974085501054158,0.050003526625930675,0.05000000000000001,True,OK
NGC4051,18.0,7,0.00941923818959933,0.9997511559946609,0.2701995264559605,156.4460803405743,0.501624756256251,0.36660546220966334,8.204619390509189,4.880287840027598,1.5165042579473718,0.05000000000000001,False,REJECTED
NGC4068,4.37,6,0.08388103340231412,0.9989057780989495,0.42623542901381506,37.6785536000966,0.8367127735995895,0.010155326732580605,1.0661833563854768,0.7586624834428625,0.20902372050860246,6.989737626925504,False,REJECTED
NGC4085,18.0,7,0.039500773228036176,0.9998380053456368,0.4134575433656761,148.20892808895482,0.2058264663978444,0.3557597106812353,4.573339058388815,6.283185307179586,2.478773508533935,0.05042733260585355,False,REJECTED
NGC4088,18.0,12,0.05806233400786289,0.9982633236185033,1.0822473355100928,181.01851973149405,0.07387537546703186,0.01,9.227811155458594,0.7702682257792571,2.96973659715778,0.8206139333833853,False,OK
NGC4100,18.0,24,0.25555963649991115,0.9753473252168894,2.78095428201107,130.4687810163097,1.997826155142327,0.01,0.6993305907797596,1.829999181506492,2.903419258685256,16.91857896863242,False,OK
NGC4138,18.0,7,0.04195486128578162,0.9940836589995562,1.396588938699337,158.42053517827304,0.39910380357324016,0.3220895617829398,20.07738542170707,2.938947710299889,0.8317985587835062,0.05000000000000001,False,REJECTED
NGC4157,18.0,17,0.022253476265472093,0.9981743318307572,0.9849451028102427,188.35735446783735,0.2609409196831965,0.08328288709588068,4.63042558683195,5.082504769511171e-06,2.047857874606998,1.8743785368792494,False,OK
NGC4183,18.0,23,0.09712948487631122,0.9914824114210116,1.5573273726439474,110.46785120010219,0.29649629647268116,0.533610538184498,13.192470485405774,0.04856995102321467,1.6326713225229774,0.05000000000000001,False,OK
NGC4214,2.87,14,0.006637449744359034,0.9975260608518093,0.3876392146948567,80.20840902687179,0.1116002538299629,0.99,4.443867392264818,5.895648382676696,0.2415445138450595,0.19525317486954288,False,OK
NGC4217,18.0,19,0.3232338937155113,0.9923944109137217,3.077534431700803,160.41922219385086,2.0,0.023561085108641362,1.2543132638886443,2.2466896250843233,1.5574787406032666,28.39443833358869,False,OK
NGC4389,18.0,6,0.07141077498417785,0.9993484655952765,0.7004803580248525,126.43480126022612,0.12611657232848136,0.01148695062445646,0.7765693167269951,0.13844547293075138,3.5058071284791645,0.050002899873027584,False,REJECTED
NGC4559,9.0,32,0.17028221884570216,0.9881324771568574,2.057005471955845,124.18330010666124,2.0,0.2264083737498916,4.393585652797584,5.970878848331166,1.9632820209953996,46.36337433579281,False,OK
NGC5005,16.9,18,0.01756193296307673,0.977492012567829,2.3577503286113966,265.6060289934949,0.30521782700141215,0.9899424718083676,2.9838362596820494,3.491929339393653,0.9637343787221838,0.849745710460694,False,OK
NGC5033,15.7,22,2.938560057095811,0.7617142221740417,5.661657034602487,203.1302278014735,0.08926820595060445,0.01,67.58209805154232,3.234439988466539,0.05000000000000001,0.05000000000000001,False,OK
NGC5055,9.9,28,2.580854408285641,0.9327082802064394,4.420048533717874,181.99121799045633,0.27676486763767544,0.4327544601758606,48.36646646474726,2.900500327491363,0.5046009537527864,0.7688748685191551,False,OK
NGC5371,39.7,19,0.726088175356705,0.9103258778158821,3.640725004562843,223.7542628893348,0.08670430489888248,0.01,39.05555280270027,1.6914726302619558,0.05000000000000001,0.05000000000000001,False,OK
NGC5585,7.06,24,0.601826176516271,0.9965159849832905,1.5307718011379055,96.05238166951017,1.8349899377335284,0.9607636031836585,1.7276672868613447,3.4621857188756806,3.0438216063444004,4.689612038284414,False,OK
NGC5907,17.3,19,2.249164893361511,0.8215290383623303,3.3442264690603554,222.448073024122,0.056679883037673635,0.0593546484295129,47.342313327647176,2.598179953607847,1.4553578798730817,0.05000000000000001,False,OK
NGC5985,39.7,33,0.5985350896405518,0.9706392469729435,3.3327801621692177,293.35139406091116,0.2388276022533892,0.36739456185404673,14.624680503656455,5.972181455875976,1.822421124818138,0.05000000000000001,False,OK
NGC6015,17.0,44,1.3035579423580246,0.9742538364588003,4.306834883639091,157.0291268469735,0.2031515320282273,0.11150380068203213,2.06370494949185,2.560388476161078,1.6172231278854126,0.48394544967761133,True,OK
